Stkcd,聚类标签,Stknme
000002,2,万科A
000061,1,农产品
000063,2,中兴通讯
000069,0,华侨城A
000100,2,TCL科技
000333,2,美的集团
000513,1,丽珠集团
000625,2,长安汽车
000651,2,格力电器
000661,2,长春高新
000681,0,视觉中国
000723,2,美锦能源
000725,2,京东方A
000858,2,五粮液
000895,1,双汇发展
000910,1,大亚圣象
000937,0,冀中能源
000999,0,华润三九
001979,0,招商蛇口
002008,0,大族激光
002024,2,ST 易购
002065,0,东华软件
002142,0,宁波银行
002202,0,金风科技
002230,2,科大讯飞
002241,2,歌尔股份
002271,2,东方雨虹
002304,2,洋河股份
002368,0,太极股份
002371,2,北方华创
002387,1,维信诺
002415,0,海康威视
002460,2,赣锋锂业
002466,2,天齐锂业
002475,2,立讯精密
002594,2,比亚迪
003816,1,中国广核
300002,2,神州泰岳
300003,0,乐普医疗
300012,1,华测检测
300014,2,亿纬锂能
300015,2,爱尔眼科
300027,2,华谊兄弟
300037,1,新宙邦
300059,2,东方财富
300070,1,碧水源
300122,0,智飞生物
300124,0,汇川技术
300136,0,信维通信
300142,2,沃森生物
300166,2,东方国信
300199,2,翰宇药业
300215,1,电科院
300236,1,上海新阳
300298,1,三诺生物
300369,1,绿盟科技
300413,0,芒果超媒
300454,1,深信服
300467,1,迅游科技
300476,1,胜宏科技
300529,1,健帆生物
300628,1,亿联网络
300673,1,佩蒂股份
300676,0,华大基因
300750,2,宁德时代
300760,0,迈瑞医疗
300782,0,卓胜微
300800,1,力合科技
300896,0,爱美客
300999,2,金龙鱼
600000,0,浦发银行
600009,0,上海机场
600011,0,华能国际
600018,1,上港集团
600019,0,宝钢股份
600025,1,华能水电
600026,1,中远海能
600028,2,中国石化
600029,1,南方航空
600030,2,中信证券
600031,2,三一重工
600036,2,招商银行
600048,2,保利发展
600050,0,中国联通
600104,2,上汽集团
600111,2,北方稀土
600115,1,中国东航
600166,2,福田汽车
600196,2,复星医药
600198,0,大唐电信
600236,1,桂冠电力
600271,0,航天信息
600276,2,恒瑞医药
600340,2,华夏幸福
600346,0,恒力石化
600352,0,浙江龙盛
600406,1,国电南瑞
600438,2,通威股份
600483,1,福能股份
600511,1,国药股份
600516,0,方大炭素
600518,2,康美药业
600519,2,贵州茅台
600522,2,中天科技
600535,1,天士力
600536,0,中国软件
600547,1,山东黄金
600562,1,国睿科技
600585,0,海螺水泥
600588,0,用友网络
600590,1,泰豪科技
600597,0,光明乳业
600600,1,青岛啤酒
600606,0,绿地控股
600660,1,福耀玻璃
600685,1,中船防务
600690,0,海尔智家
600703,2,三安光电
600718,1,东软集团
600732,1,爱旭股份
600741,1,华域汽车
600760,0,中航沈飞
600763,0,通策医疗
600787,1,中储股份
600795,1,国电电力
600869,0,远东股份
600875,0,东方电气
600886,1,国投电力
600887,2,伊利股份
600900,0,长江电力
600903,1,贵州燃气
600905,2,三峡能源
600926,1,杭州银行
600958,0,东方证券
600989,1,宝丰能源
600999,1,招商证券
601003,1,柳钢股份
601012,2,隆基绿能
601058,0,赛轮轮胎
601088,0,中国神华
601117,0,中国化学
601166,2,兴业银行
601179,1,中国西电
601186,0,中国铁建
601238,2,广汽集团
601288,0,农业银行
601318,2,中国平安
601328,1,交通银行
601336,0,新华保险
601390,0,中国中铁
601398,0,工商银行
601566,1,九牧王
601600,0,中国铝业
601601,1,中国太保
601628,0,中国人寿
601668,0,中国建筑
601669,2,中国电建
601688,0,华泰证券
601766,0,中国中车
601808,1,中海油服
601818,0,光大银行
601857,2,中国石油
601888,0,中国中免
601899,2,紫金矿业
601916,1,浙商银行
601919,2,中远海控
601933,2,永辉超市
601985,0,中国核电
601988,0,中国银行
601989,0,中国重工
601991,1,大唐发电
601992,1,金隅集团
601995,0,中金公司
601998,1,中信银行
603019,2,中科曙光
603185,1,弘元绿能
603288,0,海天味业
603883,1,老百姓
603986,2,兆易创新
688005,1,容百科技
688027,1,国盾量子
688029,1,南微医学
688981,2,中芯国际
